Iteracion NumIndividuos MejorFitness MejorGenotipo PeorFitness PeorGenotipo MediaFitness 
*******************************************************************************************

2017_02_15_21_48_24 -> MUY BUENA ITERACION 
40 10 5.6875 26.309374999999996 13.556562499999998
41 10 5.6875 26.309374999999996 13.556562499999998
42 10 5.6875 26.309374999999996 13.556562499999998
43 10 5.6875 20.20625 12.946250000000001
44 10 5.6875 20.20625 12.946250000000001
45 10 5.6875 21.925 13.946875
46 10 5.6875 21.925 13.946875
47 10 5.6875 21.925 13.946875
48 10 5.6875 21.925 13.946875
49 10 5.6875 21.925 13.946875
50 10 5.6875 21.925 13.946875
51 10 5.6875 21.925 13.946875
52 10 5.6875 21.984374999999996 13.952812499999999
53 10 5.6875 21.984374999999996 13.952812499999999
54 10 5.6875 21.984374999999996 13.952812499999999
55 10 5.6875 32.79375 15.033750000000001
56 10 5.6875 32.79375 15.033750000000001
57 10 5.6875 26.153124999999996 14.369687500000001
58 10 5.6875 26.153124999999996 14.369687500000001
59 10 5.6875 26.153124999999996 14.369687500000001
60 10 5.6875 26.153124999999996 14.369687500000001
61 10 5.6875 21.353125 13.889687499999999
62 10 5.6875 25.806250000000002 14.334999999999999
63 10 5.6875 27.559375 14.510312500000001
64 10 5.6875 20.20625 13.655312500000003
65 10 5.6875 20.20625 13.655312500000003
66 10 8.328125 20.20625 13.919375000000002
67 10 8.328125 20.20625 13.919375000000002
68 10 8.328125 20.20625 13.919375000000002
69 10 8.328125 20.20625 13.919375000000002
70 10 8.328125 21.609374999999996 14.0596875
71 10 8.328125 21.609374999999996 14.0596875
72 10 8.328125 21.609374999999996 14.0596875
73 10 8.328125 21.609374999999996 14.0596875
74 10 8.328125 24.043750000000003 14.303125
75 10 8.328125 25.521875 14.4509375
76 10 8.328125 25.521875 14.4509375
77 10 8.328125 25.521875 14.4509375
78 10 8.328125 21.428125 14.041562500000001
79 10 8.328125 22.084374999999998 14.1071875
80 10 8.328125 30.815625000000008 14.980312500000002
81 10 8.328125 30.484375000000007 14.947187500000002
82 10 8.328125 30.484375000000007 14.947187500000002
83 10 8.328125 30.484375000000007 14.947187500000002
84 10 8.328125 22.825000000000003 14.18125
85 10 8.328125 23.634375000000002 14.262187500000001
86 10 8.328125 23.634375000000002 14.262187500000001
87 10 8.328125 28.96562500000001 14.795312500000003
88 10 8.328125 27.246875000000006 14.6234375
89 10 8.328125 23.903125000000003 14.2890625
90 10 8.328125 20.50625 13.949375
91 10 8.328125 20.50625 13.949375
92 10 8.328125 25.465624999999992 14.4453125
93 10 8.328125 25.465624999999992 14.4453125
94 10 8.328125 19.184375000000006 13.8171875
95 10 8.328125 21.50625 14.049375000000001
96 10 8.328125 21.50625 14.599687500000002
97 10 8.328125 21.50625 14.599687500000002
98 10 8.328125 21.50625 14.599687500000002
99 10 8.328125 29.015625 15.350625000000003
